Name,Year,Team,BA,OBP,SLG,OPS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GDP,HBP,SH,SF,IBB,RISP,PHBA
Lee Jong-wook,2011,Doosan Bears,0.303,0.377,0.385,0.762,121.0,499.0,436.0,64.0,132.0,11.0,5.0,5.0,44.0,20.0,15.0,49.0,51.0,168.0,6.0,5.0,,,,,
Lee Jong-wook,2010,Doosan Bears,0.312,0.383,0.397,0.78,114.0,471.0,413.0,66.0,129.0,16.0,2.0,5.0,45.0,30.0,13.0,45.0,46.0,164.0,3.0,4.0,,,,,
Lee Jong-wook,2009,Doosan Bears,0.276,0.334,0.346,0.68,82.0,344.0,312.0,48.0,86.0,11.0,4.0,1.0,28.0,37.0,6.0,28.0,38.0,108.0,5.0,0.0,,,,,
Lee Jong-wook,2008,Doosan Bears,0.301,0.376,0.354,0.73,122.0,522.0,458.0,98.0,138.0,14.0,5.0,0.0,28.0,47.0,8.0,52.0,53.0,162.0,4.0,4.0,,,,,
Lee Jong-wook,2007,Doosan Bears,0.316,0.382,0.417,0.799,123.0,528.0,465.0,84.0,147.0,20.0,12.0,1.0,46.0,47.0,14.0,48.0,74.0,194.0,6.0,4.0,,,,,
Lee Jong-wook,2006,Doosan Bears,0.284,0.36,0.358,0.718,120.0,448.0,388.0,76.0,110.0,14.0,6.0,1.0,32.0,51.0,7.0,40.0,60.0,139.0,1.0,7.0,,,,,
Lim Jae-chul,2015,Lotte Giants,0.154,0.267,0.25,0.517,38.0,63.0,52.0,6.0,8.0,2.0,0.0,1.0,3.0,2.0,1.0,7.0,16.0,13.0,1.0,1.0,3.0,0.0,0.0,0.059,0.125
Lim Jae-chul,2014,LG Twins,0.242,0.306,0.258,0.563,53.0,76.0,66.0,13.0,16.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,16.0,17.0,1.0,1.0,4.0,0.0,0.0,0.043,0.2
Lim Jae-chul,2013,Doosan Bears,0.259,0.42,0.321,0.741,70.0,4.0,112.0,19.0,29.0,5.0,1.0,0.0,10.0,2.0,0.0,27.0,18.0,36.0,4.0,4.0,0.0,0.0,0.0,0.0,0.333
Lim Jae-chul,2012,Doosan Bears,0.243,0.285,0.346,0.63,66.0,,136.0,16.0,33.0,4.0,2.0,2.0,14.0,4.0,2.0,8.0,25.0,47.0,7.0,0.0,,,,,
Lim Jae-chul,2011,Doosan Bears,0.321,0.436,0.488,0.924,36.0,,84.0,20.0,27.0,8.0,0.0,2.0,10.0,0.0,2.0,16.0,16.0,41.0,4.0,1.0,,,,,
Lim Jae-chul,2010,Doosan Bears,0.292,0.456,0.431,0.886,96.0,,130.0,27.0,38.0,5.0,2.0,3.0,18.0,7.0,3.0,31.0,28.0,56.0,2.0,8.0,,,,,
Lim Jae-chul,2009,Doosan Bears,0.281,0.39,0.373,0.763,121.0,,359.0,61.0,101.0,13.0,1.0,6.0,50.0,11.0,5.0,52.0,63.0,134.0,14.0,12.0,,,,,
Lim Jae-chul,2006,Doosan Bears,0.258,0.328,0.312,0.64,99.0,,279.0,37.0,72.0,7.0,4.0,0.0,20.0,9.0,6.0,24.0,38.0,87.0,5.0,5.0,,,,,
Lim Jae-chul,2005,Doosan Bears,0.31,0.381,0.393,0.774,109.0,,336.0,41.0,104.0,13.0,3.0,3.0,30.0,10.0,3.0,35.0,51.0,132.0,5.0,4.0,,,,,
Lim Jae-chul,2004,Doosan Bears,0.175,0.227,0.194,0.421,51.0,,103.0,13.0,18.0,2.0,0.0,0.0,5.0,0.0,1.0,6.0,24.0,20.0,2.0,1.0,,,,,
Lim Jae-chul,2003,Hanwha Eagles,0.241,0.334,0.385,0.72,119.0,,270.0,38.0,65.0,14.0,2.0,7.0,26.0,6.0,6.0,29.0,64.0,104.0,3.0,9.0,,,,,
Lim Jae-chul,2002,Samsung Lions,0.194,0.275,0.292,0.567,104.0,,72.0,13.0,14.0,4.0,0.0,1.0,4.0,3.0,0.0,3.0,19.0,21.0,1.0,5.0,,,,,
Lim Jae-chul,2001,Lotte Giants,0.269,0.38,0.384,0.765,114.0,,216.0,37.0,58.0,14.0,1.0,3.0,26.0,10.0,2.0,27.0,41.0,83.0,4.0,12.0,,,,,
