Country,2000_Population,2000_GDP,2005_Population,2005_GDP,2010_Population,2010_GDP
USA,"282,162,411","10,285","295,516,599","13,094","309,327,143","14,964"
China,"1,262,645,000","1,198","1,307,560,000","2,286","1,340,910,000","6,087"
India,"1,053,050,912",476,"1,139,964,932",834,"1,224,614,327","1,708"
